Timestamp,iSTAR i8,Input Port
08/03/23 10:53:05,i8.8,input 0 INACTIVE,
08/03/23 10:53:06,i8.8,input 1 ACTIVE,
08/03/23 10:53:07,i8.8,input 1 INACTIVE,
08/03/23 10:53:08,i8.8,input 2 ACTIVE,
08/03/23 10:53:09,i8.8,input 2 INACTIVE,
08/03/23 10:53:10,i8.8,input 3 ACTIVE,
08/03/23 10:53:11,i8.8,input 3 INACTIVE,
08/03/23 10:53:12,i8.8,input 4 ACTIVE,
08/03/23 10:53:13,i8.8,input 4 INACTIVE,
08/03/23 10:53:14,i8.8,input 5 ACTIVE,
08/03/23 10:53:15,i8.8,input 5 INACTIVE,
08/03/23 10:53:16,i8.8,input 6 ACTIVE,
08/03/23 10:53:17,i8.8,input 6 INACTIVE,
08/03/23 10:53:18,i8.8,input 7 ACTIVE,
08/03/23 10:53:19,i8.8,input 7 INACTIVE,
08/03/23 10:53:20,---,---,END OF TEST #0 Trial: 2
08/03/23 10:53:20,---,---,TEST #0 Trial:3
08/03/23 10:53:20,i8.1,input 0 ACTIVE,
08/03/23 10:53:21,i8.1,input 0 INACTIVE,
08/03/23 10:53:22,i8.1,input 1 ACTIVE,
08/03/23 10:53:23,i8.1,input 1 INACTIVE,
08/03/23 10:53:24,i8.1,input 2 ACTIVE,
08/03/23 10:53:25,i8.1,input 2 INACTIVE,
08/03/23 10:53:26,i8.1,input 3 ACTIVE,
08/03/23 10:53:27,i8.1,input 3 INACTIVE,
08/03/23 10:53:28,i8.1,input 4 ACTIVE,
08/03/23 10:53:29,i8.1,input 4 INACTIVE,
08/03/23 10:53:30,i8.1,input 5 ACTIVE,
08/03/23 10:53:31,i8.1,input 5 INACTIVE,
08/03/23 10:53:32,i8.1,input 6 ACTIVE,
08/03/23 10:53:33,i8.1,input 6 INACTIVE,
08/03/23 10:53:34,i8.1,input 7 ACTIVE,
08/03/23 10:53:35,i8.1,input 7 INACTIVE,
08/03/23 10:53:36,---,---,END OF TEST #0 Trial: 3
08/03/23 10:53:36,---,---,TEST #0 Trial:3
08/03/23 10:53:36,i8.2,input 0 ACTIVE,
08/03/23 10:53:37,i8.2,input 0 INACTIVE,
08/03/23 10:53:38,i8.2,input 1 ACTIVE,
08/03/23 10:53:39,i8.2,input 1 INACTIVE,
08/03/23 10:53:40,i8.2,input 2 ACTIVE,
08/03/23 10:53:41,i8.2,input 2 INACTIVE,
08/03/23 10:53:43,i8.2,input 3 ACTIVE,
08/03/23 10:53:44,i8.2,input 3 INACTIVE,
08/03/23 10:53:45,i8.2,input 4 ACTIVE,
08/03/23 10:53:46,i8.2,input 4 INACTIVE,
08/03/23 10:53:47,i8.2,input 5 ACTIVE,
08/03/23 10:53:48,i8.2,input 5 INACTIVE,
08/03/23 10:53:49,i8.2,input 6 ACTIVE,
08/03/23 10:53:50,i8.2,input 6 INACTIVE,
08/03/23 10:53:51,i8.2,input 7 ACTIVE,
08/03/23 10:53:52,i8.2,input 7 INACTIVE,
08/03/23 10:53:53,---,---,END OF TEST #0 Trial: 3
08/03/23 10:53:53,---,---,TEST #0 Trial:3
08/03/23 10:53:53,i8.3,input 0 ACTIVE,
08/03/23 10:53:54,i8.3,input 0 INACTIVE,
08/03/23 10:53:55,i8.3,input 1 ACTIVE,
08/03/23 10:53:56,i8.3,input 1 INACTIVE,
08/03/23 10:53:57,i8.3,input 2 ACTIVE,
08/03/23 10:53:58,i8.3,input 2 INACTIVE,
08/03/23 10:53:59,i8.3,input 3 ACTIVE,
08/03/23 10:54:00,i8.3,input 3 INACTIVE,
